x,y,z
7.34,1.42,-0.4
7.249120088,1.42600746,-0.4
7.249035897,1.419712883,-0.4
7.102842072,1.419019982,-0.4
7.102998815,1.435070647,-0.4
6.878137851,1.41736335,-0.4
6.878266536,1.447581168,-0.4
6.555411152,1.4136763,-0.4
6.555234836,1.462544197,-0.4
6.134337319,1.40670614,-0.4
6.133355146,1.476740541,-0.4
5.648733597,1.396641598,-0.4
5.646356047,1.485612578,-0.4
5.158282495,1.485726189,-0.4
5.162383355,1.386333701,-0.4
4.734334483,1.473153092,-0.4
4.739855963,1.375822172,-0.4
4.410577803,1.454725308,-0.4
4.4164672,1.370977977,-0.4
4.188627432,1.437696592,-0.4
4.193681499,1.375361476,-0.4
4.052416776,1.425416063,-0.4
4.055572423,1.390264422,-0.4
4.0,1.42,-0.4
4.049261129,1.460567704,-0.4
4.183573364,1.500031708,-0.4
4.404688406,1.53847264,-0.4
4.728813003,1.570484011,-0.4
5.154181634,1.585118677,-0.4
5.643978498,1.574583558,-0.4
6.132372974,1.546774941,-0.4
6.55505852,1.511412094,-0.4
6.878395222,1.477798986,-0.4
7.103155559,1.451121312,-0.4
7.24920428,1.432302037,-0.4
7.248951706,1.413418307,-0.4
7.102685328,1.402969317,-0.4
6.878009166,1.387145532,-0.4
6.555587469,1.364808403,-0.4
6.135319491,1.33667174,-0.4
5.651111147,1.307670618,-0.4
5.166484215,1.286941213,-0.4
4.745377443,1.278491253,-0.4
4.422356597,1.287230645,-0.4
4.198735567,1.313026361,-0.4
4.058728069,1.355112781,-0.4
4.046105482,1.495719344,-0.4
4.178519296,1.562366823,-0.4
4.398799009,1.622219972,-0.4
4.723291523,1.667814931,-0.4
5.150080774,1.684511166,-0.4
5.641600948,1.663554538,-0.4
6.131390801,1.616809341,-0.4
6.554882204,1.56027999,-0.4
6.878523907,1.508016804,-0.4
7.103312303,1.467171977,-0.4
7.249288471,1.438596613,-0.4
7.248951706,1.413418307,-0.6750244121
7.34,1.42,-0.675
7.102685328,1.402969317,-0.6750631685
6.878009166,1.387145532,-0.6751218604
6.555587469,1.364808403,-0.675204711
6.135319491,1.33667174,-0.6753090726
5.651111147,1.307670618,-0.6754166405
5.166484215,1.286941213,-0.6754935279
4.745377443,1.278491253,-0.6755248696
4.422356597,1.287230645,-0.6754924544
4.198735567,1.313026361,-0.6753967756
4.058728069,1.355112781,-0.675240673
4.0,1.42,-0.675
4.046105482,1.495719344,-0.6747191496
4.178519296,1.562366823,-0.6744719477
4.398799009,1.622219972,-0.6742499466
4.723291523,1.667814931,-0.6740808304
5.150080774,1.684511166,-0.6740189025
5.641600948,1.663554538,-0.6740966326
6.131390801,1.616809341,-0.6742700151
6.554882204,1.56027999,-0.6744796879
6.878523907,1.508016804,-0.6746735372
7.103312303,1.467171977,-0.6748250346
7.249288471,1.438596613,-0.6749310234
7.248951706,1.413418307,-0.9500488243
7.34,1.42,-0.95
7.102685328,1.402969317,-0.9501263369
6.878009166,1.387145532,-0.9502437208
6.555587469,1.364808403,-0.950409422
6.135319491,1.33667174,-0.9506181452
5.651111147,1.307670618,-0.9508332811
5.166484215,1.286941213,-0.9509870558
4.745377443,1.278491253,-0.9510497393
4.422356597,1.287230645,-0.9509849088
4.198735567,1.313026361,-0.9507935512
4.058728069,1.355112781,-0.9504813459
4.0,1.42,-0.95
4.046105482,1.495719344,-0.9494382992
4.178519296,1.562366823,-0.9489438954
4.398799009,1.622219972,-0.9484998931
4.723291523,1.667814931,-0.9481616609
5.150080774,1.684511166,-0.948037805
5.641600948,1.663554538,-0.9481932653
6.131390801,1.616809341,-0.9485400302
6.554882204,1.56027999,-0.9489593759
6.878523907,1.508016804,-0.9493470743
7.103312303,1.467171977,-0.9496500691
7.249288471,1.438596613,-0.9498620467
7.248951706,1.413418307,-1.225073236
7.34,1.42,-1.225
7.102685328,1.402969317,-1.225189505
6.878009166,1.387145532,-1.225365581
6.555587469,1.364808403,-1.225614133
6.135319491,1.33667174,-1.225927218
5.651111147,1.307670618,-1.226249922
5.166484215,1.286941213,-1.226480584
4.745377443,1.278491253,-1.226574609
4.422356597,1.287230645,-1.226477363
4.198735567,1.313026361,-1.226190327
4.058728069,1.355112781,-1.225722019
4.0,1.42,-1.225
4.046105482,1.495719344,-1.224157449
4.178519296,1.562366823,-1.223415843
4.398799009,1.622219972,-1.22274984
4.723291523,1.667814931,-1.222242491
5.150080774,1.684511166,-1.222056707
5.641600948,1.663554538,-1.222289898
6.131390801,1.616809341,-1.222810045
6.554882204,1.56027999,-1.223439064
6.878523907,1.508016804,-1.224020611
7.103312303,1.467171977,-1.224475104
7.249288471,1.438596613,-1.22479307
7.248951706,1.413418307,-1.500097649
7.34,1.42,-1.5
7.102685328,1.402969317,-1.500252674
6.878009166,1.387145532,-1.500487442
6.555587469,1.364808403,-1.500818844
6.135319491,1.33667174,-1.50123629
5.651111147,1.307670618,-1.501666562
5.166484215,1.286941213,-1.501974112
4.745377443,1.278491253,-1.502099479
4.422356597,1.287230645,-1.501969818
4.198735567,1.313026361,-1.501587102
4.058728069,1.355112781,-1.500962692
4.0,1.42,-1.5
4.046105482,1.495719344,-1.498876598
4.178519296,1.562366823,-1.497887791
4.398799009,1.622219972,-1.496999786
4.723291523,1.667814931,-1.496323322
5.150080774,1.684511166,-1.49607561
5.641600948,1.663554538,-1.496386531
6.131390801,1.616809341,-1.49708006
6.554882204,1.56027999,-1.497918752
6.878523907,1.508016804,-1.498694149
7.103312303,1.467171977,-1.499300138
7.249288471,1.438596613,-1.499724093
7.248951706,1.421751097,-1.780860219
7.34,1.428332644,-1.78075601
7.102685328,1.411302339,-1.781025659
6.878009166,1.395478904,-1.781276199
6.555587469,1.373142271,-1.781629865
6.135319491,1.345006233,-1.782075356
5.651111147,1.316005754,-1.782534534
5.166484215,1.295276809,-1.782862745
4.745377443,1.286827036,-1.782996534
4.422356597,1.295566234,-1.782858163
4.198735567,1.321361377,-1.782449736
4.058728069,1.363446865,-1.781783377
4.0,1.428332644,-1.78075601
4.046105482,1.504050308,-1.779557137
4.178519296,1.570696309,-1.7785019
4.398799009,1.63054813,-1.777554238
4.723291523,1.676142077,-1.776832328
5.150080774,1.692837942,-1.776567975
