x,y,z
15.69867298,-1.810840895,-0.0
15.09565556,-1.691791911,-1.232832905
15.33875089,-1.693901124,-1.232721849
15.44065896,-1.805431736,-0.0
14.67097609,-1.705393244,-1.233416422
14.98969159,-1.814330971,-0.0
13.98285052,-1.745744108,-1.23477454
14.25873185,-1.848188711,-0.0
12.99152469,-1.813120141,-1.236939405
13.20557777,-1.906779099,-0.0
11.7802317,-1.875168335,-1.239127714
11.9190018,-1.956845432,-0.0
10.63191824,-1.940065417,-0.0
10.56768701,-1.874257414,-1.239898192
9.580922013,-1.852518231,-0.0
9.576702558,-1.803956215,-1.238960575
8.85673078,-1.748472027,-0.0
8.893356599,-1.714332043,-1.237386869
8.418056551,-1.644804633,-0.0
8.478953804,-1.62176054,-1.235571306
8.218,-1.502251098,-0.0
8.28886361,-1.48979937,-1.232721851
8.459351691,-1.332945657,-1.229076274
8.401015748,-1.337976941,-0.0
8.870756585,-1.210794213,-1.226055475
8.839308011,-1.213680503,-0.0
9.558905713,-1.101326659,-1.223139946
9.571194128,-1.106456887,-0.0
10.5614533,-1.039273266,-1.221087695
10.63619049,-1.053662736,-0.0
11.78584855,-1.096755326,-1.221584194
11.93511546,-1.130646592,-0.0
13.21959412,-1.342714172,-0.0
12.99819955,-1.281644805,-1.224959402
14.26416425,-1.558813725,-0.0
13.9846187,-1.473108488,-1.228630132
14.98967521,-1.704563287,-0.0
14.66969038,-1.601999286,-1.231087501
15.43950414,-1.780183858,-0.0
15.09427561,-1.668023386,-1.232298233
14.75065216,-1.578152086,-2.465665811
14.97882879,-1.576961354,-2.465443697
14.35226059,-1.596455517,-2.466832843
13.7069692,-1.643299504,-2.46954908
12.77747161,-1.719461183,-2.47387881
11.6414616,-1.793491238,-2.478255428
10.50345578,-1.80844941,-2.479796384
9.572483102,-1.755394199,-2.47792115
8.929982417,-1.68019206,-2.474773738
8.539851057,-1.598716446,-2.471142612
8.35972722,-1.477347643,-2.465443703
8.517687634,-1.327914373,-2.458152548
8.90220516,-1.207907922,-2.45211095
9.546617298,-1.096196432,-2.446279892
10.48671611,-1.024883796,-2.442175389
11.63658164,-1.062864059,-2.443168389
12.77680499,-1.220575439,-2.449918804
13.70507316,-1.387403251,-2.457260264
14.34970554,-1.499435286,-2.462175002
14.74904709,-1.555862915,-2.464596466
14.56700183,-1.454976663,-3.524733408
14.78642455,-1.452955173,-3.52445443
14.1839571,-1.474091921,-3.526199219
13.56359006,-1.52157391,-3.529610854
12.67002783,-1.598312666,-3.535049062
11.57786356,-1.67379801,-3.540546162
10.48355178,-1.69254445,-3.542481627
9.58807179,-1.645158477,-3.540126304
8.969916911,-1.575387825,-3.536173106
8.594430147,-1.498619965,-3.531612355
8.420744143,-1.382721524,-3.524454437
8.572070295,-1.23856298,-3.515296633
8.941380036,-1.121801498,-3.507708293
9.560650912,-1.012008829,-3.500384394
10.4644266,-0.9398874639,-3.495229075
11.57034786,-0.971949977,-3.496476298
12.66745927,-1.119067602,-3.504954924
13.56077804,-1.275758039,-3.514175911
14.18112517,-1.380900618,-3.520348898
14.56537218,-1.433571056,-3.523390295
14.3833515,-1.33180124,-4.583801005
14.5940203,-1.328948993,-4.583465163
14.0156536,-1.351728325,-4.585565595
13.42021092,-1.399848317,-4.589672629
12.56258405,-1.477164149,-4.596219314
11.51426553,-1.554104782,-4.602836897
10.46364779,-1.57663949,-4.60516687
9.603660479,-1.534922755,-4.602331459
9.009851405,-1.47058359,-4.597572473
8.649009237,-1.398523484,-4.592082098
8.481761067,-1.288095405,-4.583465171
8.626452955,-1.149211586,-4.572440719
8.980554911,-1.035695074,-4.563305636
9.574684527,-0.927821226,-4.554488895
10.44213708,-0.8548911317,-4.548282761
11.50411409,-0.8810358946,-4.549784206
12.55811355,-1.017559766,-4.559991044
13.41648291,-1.164112827,-4.571091558
14.0125448,-1.26236595,-4.578522794
14.38169728,-1.311279196,-4.582184124
14.19970117,-1.208625817,-5.642868603
14.40161605,-1.204942812,-5.642475896
13.84735011,-1.22936473,-5.644931971
13.27683178,-1.278122723,-5.649734403
12.45514028,-1.356015632,-5.657389567
11.4506675,-1.434411554,-5.665127631
10.44374379,-1.46073453,-5.667852113
9.619249167,-1.424687034,-5.664536613
9.049785899,-1.365779355,-5.658971841
8.703588326,-1.298427003,-5.652551841
8.54277799,-1.193469285,-5.642475905
8.680835616,-1.059860193,-5.629584804
9.019729787,-0.9495886499,-5.618902979
9.588718141,-0.843633623,-5.608593397
10.41984757,-0.7698947994,-5.601336446
11.43788031,-0.7901218122,-5.603092115
12.44876784,-0.9160519291,-5.615027163
13.27218779,-1.052467615,-5.628007205
13.84396443,-1.143831281,-5.636696691
14.19802238,-1.188987337,-5.640977952
13.97721707,-1.081172576,-6.918404748
14.16856062,-1.077490613,-6.918032625
13.6433271,-1.101159416,-6.920359963
13.10271493,-1.147904011,-6.924910674
12.3241032,-1.222495092,-6.932164587
11.37227709,-1.297736648,-6.939497057
10.41807886,-1.323637346,-6.942078734
9.636702436,-1.290263644,-6.938937017
9.096987803,-1.234985587,-6.933663926
8.768845542,-1.17149321,-6.927580434
8.616351972,-1.072190496,-6.918032633
8.747056963,-0.9454541296,-6.905817227
9.068109278,-0.8406409154,-6.895695295
9.60721719,-0.7396991107,-6.885926095
10.39477683,-0.6690353747,-6.879049522
11.35954692,-0.6872338693,-6.880713166
12.3176462,-0.8056011208,-6.892022632
13.09809957,-0.9340825571,-6.904322318
13.64003734,-1.020113001,-6.91255634
13.97560749,-1.062565176,-6.916613197
13.75473298,-0.9537193349,-8.193940892
13.93550519,-0.9500384137,-8.193589353
13.43930409,-0.9729541017,-8.195787955
12.92859808,-1.017685299,-8.200086944
12.19306613,-1.088974552,-8.206939608
11.29388669,-1.161061743,-8.213866483
10.39241392,-1.186540161,-8.216305354
9.654155705,-1.155840253,-8.213337421
