x,y,z
0.0,0.0,1.480297366e-16
1.146635342,0.01345555556,-0.9987633861
1.155787946,-0.1796039722,-0.9683064626
1.165927956,-0.3618915748,-0.8710972744
1.176170366,-0.5251222615,-0.7150244873
1.185494309,-0.6598394717,-0.5089948709
1.19233547,-0.7519003652,-0.2659876116
1.194993674,-0.7859905319,6.219304906e-17
1.19233547,-0.7519003652,0.2659876116
1.185494309,-0.6598394717,0.5089948709
1.176170366,-0.5251222615,0.7150244873
1.165927956,-0.3618915748,0.8710972744
1.155787946,-0.1796039722,0.9683064626
1.146635342,0.01345555556,0.9987633861
1.139173732,0.2032983597,0.9576199542
1.133381024,0.3774370042,0.852190375
1.129053711,0.5298383168,0.6928294315
1.126017637,0.6533927994,0.4900879715
1.12421607,0.7366856498,0.2553011032
1.123621632,0.7672257395,1.27470051e-16
1.12421607,0.7366856498,-0.2553011032
1.126017637,0.6533927994,-0.4900879715
1.129053711,0.5298383168,-0.6928294315
1.133381024,0.3774370042,-0.852190375
1.139173732,0.2032983597,-0.9576199542
2.674913279,0.03844444444,-1.644108558
2.681658153,-0.2611753518,-1.59870649
2.673037339,-0.540498174,-1.446267766
2.655951075,-0.7894114547,-1.19573619
2.637027876,-0.9954594866,-0.8580917725
2.621809364,-1.136814003,-0.4524593582
2.615565438,-1.189303599,2.569960705e-17
2.621809364,-1.136814003,0.4524593582
2.637027876,-0.9954594866,0.8580917725
2.655951075,-0.7894114547,1.19573619
2.673037339,-0.540498174,1.446267766
2.681658153,-0.2611753518,1.59870649
2.674913279,0.03844444444,1.644108558
2.648429724,0.3316307936,1.577333473
2.607943475,0.5946556995,1.408453968
2.561717764,0.8219102319,1.151346078
2.518074533,1.005632809,0.8202779737
2.485570566,1.129451239,0.4310863414
2.472821355,1.174840681,6.373502549e-17
2.485570566,1.129451239,-0.4310863414
2.518074533,1.005632809,-0.8202779737
2.561717764,0.8219102319,-1.151346078
2.607943475,0.5946556995,-1.408453968
2.648429724,0.3316307936,-1.577333473
4.0402,0.0519,-2.00225
4.0402,-0.3081254383,-1.930676286
4.0402,-0.6317465611,-1.728719672
4.0402,-0.9060064734,-1.415526947
4.0402,-1.117948281,-1.0102449
4.0402,-1.254615088,-0.532020321
4.0402,-1.30305,-0.0
4.0402,-1.254615088,0.532020321
4.0402,-1.117948281,1.0102449
4.0402,-0.9060064734,1.415526947
4.0402,-0.6317465611,1.728719672
4.0402,-0.3081254383,1.930676286
4.0402,0.0519,2.00225
4.0402,0.4119254383,1.930676286
4.0402,0.7355465611,1.728719672
4.0402,1.009806473,1.415526947
4.0402,1.221748281,1.0102449
4.0402,1.358415088,0.532020321
4.0402,1.40685,-0.0
4.0402,1.358415088,-0.532020321
4.0402,1.221748281,-1.0102449
4.0402,1.009806473,-1.415526947
4.0402,0.7355465611,-1.728719672
4.0402,0.4119254383,-1.930676286
5.504257043,0.09965555556,-2.249160477
5.491576794,-0.2971953395,-2.152878287
5.490683298,-0.6459246511,-1.908935109
5.496696597,-0.9317764146,-1.547539655
5.505034482,-1.141839408,-1.0966515
5.512305748,-1.270581378,-0.5752336561
5.515416938,-1.314314815,1.541976423e-17
5.512305748,-1.270581378,0.5752336561
5.505034482,-1.141839408,1.0966515
5.496696597,-0.9317764146,1.547539655
5.490683298,-0.6459246511,1.908935109
5.491576794,-0.2971953395,2.152878287
5.504257043,0.09965555556,2.249160477
5.531694622,0.5042720729,2.176725343
5.569222584,0.8717733406,1.951126055
5.610264601,1.180616028,1.597068157
5.648176691,1.411672301,1.138842446
5.67604426,1.555476317,0.5990807125
5.68688506,1.604977733,-3.96634701e-17
5.67604426,1.555476317,-0.5990807125
5.648176691,1.411672301,-1.138842446
5.610264601,1.180616028,-1.597068157
5.569222584,0.8717733406,-1.951126055
5.531694622,0.5042720729,-2.176725343
7.252305301,0.1883444444,-2.459830239
7.255273172,-0.2270593217,-2.36395844
7.257432663,-0.5964623265,-2.107307081
7.258577713,-0.9046777914,-1.717749029
7.258651138,-1.137441309,-1.222032581
7.258191253,-1.284177958,-0.642407755
7.257885249,-1.335235185,7.709882115e-18
7.258191253,-1.284177958,0.642407755
7.258651138,-1.137441309,1.222032581
7.258577713,-0.9046777914,1.717749029
7.257432663,-0.5964623265,2.107307081
7.255273172,-0.2270593217,2.36395844
7.252305301,0.1883444444,2.459830239
7.248773272,0.6076310218,2.375881968
7.245073957,0.9864200046,2.128402554
7.24164239,1.306130931,1.74251328
7.238879778,1.549391089,1.243128054
7.237052023,1.703658761,0.6543312833
7.236391199,1.757599978,-1.983173505e-17
7.237052023,1.703658761,-0.6543312833
7.238879778,1.549391089,-1.243128054
7.24164239,1.306130931,-1.74251328
7.245073957,0.9864200046,-2.128402554
7.248773272,0.6076310218,-2.375881968
8.6249,0.2361,-2.549
8.6249,-0.1844146011,-2.45788181
8.6249,-0.5624084672,-2.200777348
8.6249,-0.8827477692,-1.802061774
8.6249,-1.130298678,-1.286110251
8.6249,-1.289927365,-0.6772979389
8.6249,-1.3465,-0.0
8.6249,-1.289927365,0.6772979389
8.6249,-1.130298678,1.286110251
8.6249,-0.8827477692,1.802061774
8.6249,-0.5624084672,2.200777348
8.6249,-0.1844146011,2.45788181
8.6249,0.2361,2.549
8.6249,0.6566146011,2.45788181
8.6249,1.034608467,2.200777348
8.6249,1.354947769,1.802061774
8.6249,1.602498678,1.286110251
8.6249,1.762127365,0.6772979389
8.6249,1.8187,-0.0
8.6249,1.762127365,-0.6772979389
8.6249,1.602498678,-1.286110251
