x,y,z
-8.217301096e-33,-1.728,-0.0
0.9446792529,-1.728,-1.034772333
0.945142355,-1.900671877,-1.019131756
0.9452871666,-2.0651856,-0.9782035962
0.9451770813,-2.219516512,-0.9141058588
0.9448754926,-2.361639957,-0.8289565482
0.9444457938,-2.489531276,-0.7248736692
0.9439514291,-2.600985704,-0.6040185391
0.9434560443,-2.693078033,-0.4687257261
0.9430233358,-2.762702946,-0.3213731113
0.942717,-2.806755126,-0.1643385756
0.9426007333,-2.822129256,4.111937128e-17
0.942717,-2.806755126,0.1643385756
0.9430233358,-2.762702946,0.3213731113
0.9434560443,-2.693078033,0.4687257261
0.9439514291,-2.600985704,0.6040185391
0.9444457938,-2.489531276,0.7248736692
0.9448754926,-2.361639957,0.8289565482
0.9451770813,-2.219516512,0.9141058588
0.9452871666,-2.0651856,0.9782035962
0.945142355,-1.900671877,1.019131756
0.9446792529,-1.728,1.034772333
0.9438624483,-1.554498499,1.023652237
0.9427684545,-1.387714651,0.9868780327
0.9415017663,-1.230001237,0.9262011998
0.9401668785,-1.083711037,0.8433732173
0.9388682858,-0.9511968286,0.7401455644
0.9377002895,-0.8350085706,0.6184352082
0.9367164162,-0.7384849319,0.4808210672
0.9359599991,-0.6651617601,0.3300475479
0.9354743712,-0.6185749023,0.1688590566
0.9353028657,-0.6022602058,5.345518267e-17
0.9354743712,-0.6185749023,-0.1688590566
0.9359599991,-0.6651617601,-0.3300475479
0.9367164162,-0.7384849319,-0.4808210672
0.9377002895,-0.8350085706,-0.6184352082
0.9388682858,-0.9511968286,-0.7401455644
0.9401668785,-1.083711037,-0.8433732173
0.9415017663,-1.230001237,-0.9262011998
0.9427684545,-1.387714651,-0.9868780327
0.9438624483,-1.554498499,-1.023652237
3.082120348,-1.728,-2.189571854
3.083046552,-2.10704335,-2.157500351
3.083336175,-2.465452571,-2.073090796
3.083116005,-2.799359828,-1.940305917
3.082512827,-3.104897289,-1.763108442
3.08165343,-3.378197119,-1.545461099
3.0806647,-3.615031266,-1.29141324
3.079673931,-3.809730795,-1.005360721
3.078808514,-3.956266554,-0.6917860208
3.078195842,-4.048609389,-0.3551716205
3.077963309,-4.080730146,8.223874256e-18
3.078195842,-4.048609389,0.3551716205
3.078808514,-3.956266554,0.6917860208
3.079673931,-3.809730795,1.005360721
3.0806647,-3.615031266,1.29141324
3.08165343,-3.378197119,1.545461099
3.082512827,-3.104897289,1.763108442
3.083116005,-2.799359828,1.940305917
3.083336175,-2.465452571,2.073090796
3.083046552,-2.10704335,2.157500351
3.082120348,-1.728,2.189571854
3.080486739,-1.347297401,2.166541313
3.078298751,-0.9843479324,2.090439669
3.075765375,-0.6436756719,1.964496599
3.073095599,-0.3298046984,1.791941781
3.070498414,-0.04725909056,1.57600489
3.068162421,0.1990427171,1.320246579
3.066194675,0.4026048663,1.029551403
3.06468184,0.5565371429,0.7091348938
3.063710585,0.6539493325,0.3642125825
3.063367573,0.6879512212,2.672759133e-17
3.063710585,0.6539493325,-0.3642125825
3.06468184,0.5565371429,-0.7091348938
3.066194675,0.4026048663,-1.029551403
3.068162421,0.1990427171,-1.320246579
3.070498414,-0.04725909056,-1.57600489
3.073095599,-0.3298046984,-1.791941781
3.075765375,-0.6436756719,-1.964496599
3.078298751,-0.9843479324,-2.090439669
3.080486739,-1.347297401,-2.166541313
5.36742829,-1.728,-3.05
5.36742829,-2.254874891,-3.010050202
5.36742829,-2.754789951,-2.894400719
5.36742829,-3.221032209,-2.709351416
5.36742829,-3.646888694,-2.461202158
5.36742829,-4.025646436,-2.156252809
5.36742829,-4.350592463,-1.800803236
5.36742829,-4.615013804,-1.401153304
5.36742829,-4.812197488,-0.9636028767
5.36742829,-4.935430543,-0.4944518204
5.36742829,-4.978,-0.0
5.36742829,-4.935430543,0.4944518204
5.36742829,-4.812197488,0.9636028767
5.36742829,-4.615013804,1.401153304
5.36742829,-4.350592463,1.800803236
5.36742829,-4.025646436,2.156252809
5.36742829,-3.646888694,2.461202158
5.36742829,-3.221032209,2.709351416
5.36742829,-2.754789951,2.894400719
5.36742829,-2.254874891,3.010050202
5.36742829,-1.728,3.05
5.36742829,-1.201125109,3.010050202
5.36742829,-0.7012100494,2.894400719
5.36742829,-0.2349677911,2.709351416
5.36742829,0.1908886944,2.461202158
5.36742829,0.5696464361,2.156252809
5.36742829,0.8945924629,1.800803236
5.36742829,1.159013804,1.401153304
5.36742829,1.356197488,0.9636028767
5.36742829,1.479430543,0.4944518204
5.36742829,1.522,-1.314768175e-31
5.36742829,1.479430543,-0.4944518204
5.36742829,1.356197488,-0.9636028767
5.36742829,1.159013804,-1.401153304
5.36742829,0.8945924629,-1.800803236
5.36742829,0.5696464361,-2.156252809
5.36742829,0.1908886944,-2.461202158
5.36742829,-0.2349677911,-2.709351416
5.36742829,-0.7012100494,-2.894400719
5.36742829,-1.201125109,-3.010050202
8.404533642,-1.6,-3.876273232
8.31801549,-2.267070657,-3.731471712
8.145333266,-2.863078122,-3.514572058
7.91095736,-3.39166899,-3.23285417
7.639358159,-3.856489857,-2.893597946
7.355006052,-4.261187317,-2.504083287
7.081279488,-4.607553971,-2.071130654
6.837189154,-4.889966435,-1.599722746
6.640653799,-5.10094733,-1.094382827
6.50959217,-5.233019278,-0.5596341574
6.461923017,-5.278704901,7.067391939e-17
6.50959217,-5.233019278,0.5596341574
6.640653799,-5.10094733,1.094382827
6.837189154,-4.889966435,1.599722746
7.081279488,-4.607553971,2.071130654
7.355006052,-4.261187317,2.504083287
7.639358159,-3.856489857,2.893597946
7.91095736,-3.39166899,3.23285417
8.145333266,-2.863078122,3.514572058
8.31801549,-2.267070657,3.731471712
8.404533642,-1.6,3.876273232
8.388261551,-0.8848881045,3.941287996
8.283949903,-0.1644446106,3.917192495
8.114193603,0.5354455471,3.794254497
7.901587554,1.188897434,3.562741771
7.668726659,1.770026115,3.212922085
7.437423424,2.256656836,2.740274478
7.226360757,2.641455573,2.161123074
7.053439171,2.920798478,1.497003264
6.936559178,3.091061708,0.7694504414
6.893621289,3.148621416,3.856170704e-16
6.936559178,3.091061708,-0.7694504414
7.053439171,2.920798478,-1.497003264
7.226360757,2.641455573,-2.161123074
7.437423424,2.256656836,-2.740274478
7.668726659,1.770026115,-3.212922085
7.901587554,1.188897434,-3.562741771
