x,y,z
-3.700743415e-17,-0.51327,3.700743415e-17
0.1824831753,-0.51327,-0.1914393228
0.1746509505,-0.5766667392,-0.1834449877
0.1551084998,-0.6348889918,-0.1617750175
0.1297871584,-0.6845176469,-0.129898965
0.104584385,-0.7224014444,-0.09100009236
0.08526213196,-0.7464605274,-0.04711650055
0.07754847522,-0.7548828898,1.287858709e-17
0.08526213196,-0.7464605274,0.04711650055
0.104584385,-0.7224014444,0.09100009236
0.1297871584,-0.6845176469,0.129898965
0.1551084998,-0.6348889918,0.1617750175
0.1746509505,-0.5766667392,0.1834449877
0.1824831753,-0.51327,0.1914393228
0.1746509505,-0.4498732608,0.1834449877
0.1551084998,-0.3916510082,0.1617750175
0.1297871584,-0.3420223531,0.129898965
0.104584385,-0.3041385556,0.09100009236
0.08526213196,-0.2800794726,0.04711650055
0.07754847522,-0.2716571102,3.546339193e-17
0.08526213196,-0.2800794726,-0.04711650055
0.104584385,-0.3041385556,-0.09100009236
0.1297871584,-0.3420223531,-0.129898965
0.1551084998,-0.3916510082,-0.1617750175
0.1746509505,-0.4498732608,-0.1834449877
0.3976435956,-0.51327,-0.4087648381
0.3888485162,-0.6443062245,-0.3914153328
0.366975151,-0.7626691131,-0.3446780808
0.33879131,-0.8616266017,-0.2765199777
0.3109631729,-0.9352501784,-0.1940490483
0.289750401,-0.9808255409,-0.1009378327
0.2813110257,-0.9964419395,1.199040867e-17
0.289750401,-0.9808255409,0.1009378327
0.3109631729,-0.9352501784,0.1940490483
0.33879131,-0.8616266017,0.2765199777
0.366975151,-0.7626691131,0.3446780808
0.3888485162,-0.6443062245,0.3914153328
0.3976435956,-0.51327,0.4087648381
0.3888485162,-0.3822337755,0.3914153328
0.366975151,-0.2638708869,0.3446780808
0.33879131,-0.1649133983,0.2765199777
0.3109631729,-0.09128982164,0.1940490483
0.289750401,-0.04571445907,0.1009378327
0.2813110257,-0.03009806047,3.811145976e-17
0.289750401,-0.04571445907,-0.1009378327
0.3109631729,-0.09128982164,-0.1940490483
0.33879131,-0.1649133983,-0.2765199777
0.366975151,-0.2638708869,-0.3446780808
0.3888485162,-0.3822337755,-0.3914153328
0.6432264283,-0.51327,-0.6126666921
0.6373846065,-0.7061637512,-0.5870173785
0.6229515524,-0.878851998,-0.5177470572
0.6045658824,-1.022066577,-0.4163721575
0.5867137685,-1.127744653,-0.2931208019
0.5732716041,-1.192644706,-0.1530678863
0.5679633385,-1.214730544,4.662936703e-18
0.5732716041,-1.192644706,0.1530678863
0.5867137685,-1.127744653,0.2931208019
0.6045658824,-1.022066577,0.4163721575
0.6229515524,-0.878851998,0.5177470572
0.6373846065,-0.7061637512,0.5870173785
0.6432264283,-0.51327,0.6126666921
0.6373846065,-0.3203762488,0.5870173785
0.6229515524,-0.147688002,0.5177470572
0.6045658824,-0.004473423137,0.4163721575
0.5867137685,0.1012046531,0.2931208019
0.5732716041,0.1661047063,0.1530678863
0.5679633385,0.1881905444,2.302783164e-17
0.5732716041,0.1661047063,-0.1530678863
0.5867137685,0.1012046531,-0.2931208019
0.6045658824,-0.004473423137,-0.4163721575
0.6229515524,-0.147688002,-0.5177470572
0.6373846065,-0.3203762488,-0.5870173785
0.9169768406,-0.51327,-0.7638350307
0.9150511313,-0.7522146147,-0.7333574678
0.9103893025,-0.9656792805,-0.6500198144
0.9046643032,-1.143307285,-0.5259646237
0.899413576,-1.27581332,-0.3721892875
0.8956325382,-1.358197689,-0.1951105515
0.8941811009,-1.3865321,-1.776356839e-18
0.8956325382,-1.358197689,0.1951105515
0.899413576,-1.27581332,0.3721892875
0.9046643032,-1.143307285,0.5259646237
0.9103893025,-0.9656792805,0.6500198144
0.9150511313,-0.7522146147,0.7333574678
0.9169768406,-0.51327,0.7638350307
0.9150511313,-0.2743253853,0.7333574678
0.9103893025,-0.06086071953,0.6500198144
0.9046643032,0.1167672852,0.5259646237
0.899413576,0.2492733201,0.3721892875
0.8956325382,0.3316576892,0.1951105515
0.8941811009,0.3599920995,5.296135672e-18
0.8956325382,0.3316576892,-0.1951105515
0.899413576,0.2492733201,-0.3721892875
0.9046643032,0.1167672852,-0.5259646237
0.9103893025,-0.06086071953,-0.6500198144
0.9150511313,-0.2743253853,-0.7333574678
1.21664,-0.51327,-0.82296
1.21664,-0.7724341105,-0.7935419436
1.21664,-1.005392595,-0.7105342197
1.21664,-1.202818439,-0.5818064957
1.21664,-1.355384631,-0.4152284394
1.21664,-1.453764155,-0.2186697182
1.21664,-1.48863,-0.0
1.21664,-1.453764155,0.2186697182
1.21664,-1.355384631,0.4152284394
1.21664,-1.202818439,0.5818064957
1.21664,-1.005392595,0.7105342197
1.21664,-0.7724341105,0.7935419436
1.21664,-0.51327,0.82296
1.21664,-0.2541058895,0.7935419436
1.21664,-0.0211474052,0.7105342197
1.21664,0.1762784394,0.5818064957
1.21664,0.3288446307,0.4152284394
1.21664,0.4272241554,0.2186697182
1.21664,0.46209,-0.0
1.21664,0.4272241554,-0.2186697182
1.21664,0.3288446307,-0.4152284394
1.21664,0.1762784394,-0.5818064957
1.21664,-0.0211474052,-0.7105342197
1.21664,-0.2541058895,-0.7935419436
1.960584539,-0.45988992,-0.93289216
1.960550036,-0.7493852173,-0.9026220196
1.960311333,-1.011344263,-0.8146096769
1.959665641,-1.23691965,-0.6730522498
1.958545677,-1.416192566,-0.4832920175
1.957426183,-1.534958589,-0.2552519053
1.956917408,-1.577941891,5.329070518e-18
1.957426183,-1.534958589,0.2552519053
1.958545677,-1.416192566,0.4832920175
1.959665641,-1.23691965,0.6730522498
1.960311333,-1.011344263,0.8146096769
1.960550036,-0.7493852173,0.9026220196
1.960584539,-0.45988992,0.93289216
1.960550036,-0.1703946227,0.9026220196
1.960311333,0.09156442304,0.8146096769
1.959665641,0.3171398095,0.6730522498
1.958545677,0.4964127259,0.4832920175
1.957426183,0.6151787487,0.2552519053
1.956917408,0.6581620511,3.807693129e-18
1.957426183,0.6151787487,-0.2552519053
1.958545677,0.4964127259,-0.4832920175
1.959665641,0.3171398095,-0.6730522498
1.960311333,0.09156442304,-0.8146096769
1.960550036,-0.1703946227,-0.9026220196
3.326441582,-0.33259896,-1.19503808
3.326402766,-0.6886924581,-1.155781806
3.326134225,-1.010732607,-1.042088617
3.325407822,-1.287671605,-0.8600719642
3.324147863,-1.507256325,-0.6171336035
3.322888432,-1.652412323,-0.3258285187
3.32231606,-1.704859828,5.995204333e-18
3.322888432,-1.652412323,0.3258285187
3.324147863,-1.507256325,0.6171336035
3.325407822,-1.287671605,0.8600719642
3.326134225,-1.010732607,1.042088617
3.326402766,-0.6886924581,1.155781806
3.326441582,-0.33259896,1.19503808
3.326402766,0.02349453809,1.155781806
3.326134225,0.3455346867,1.042088617
3.325407822,0.6224736854,0.8600719642
3.324147863,0.8420584054,0.6171336035
3.322888432,0.9872144033,0.3258285187
3.32231606,1.039661908,4.283654771e-18
3.322888432,0.9872144033,-0.3258285187
3.324147863,0.8420584054,-0.6171336035
3.325407822,0.6224736854,-0.8600719642
3.326134225,0.3455346867,-1.042088617
3.326402766,0.02349453809,-1.155781806
4.950850036,-0.18067104,-1.50792192
4.950824159,-0.6149234443,-1.456326991
4.950645132,-1.006568259,-1.30879345
4.950160863,-1.341155639,-1.076198161
4.94932089,-1.603432188,-0.7702768638
4.948481269,-1.774930301,-0.406200779
4.948099688,-1.836378818,3.996802889e-18
4.948481269,-1.774930301,0.406200779
4.94932089,-1.603432188,0.7702768638
4.950160863,-1.341155639,1.076198161
4.950645132,-1.006568259,1.30879345
4.950824159,-0.6149234443,1.456326991
