x,y,z
0.0,-0.3260869565,-0.0
0.3286498603,-0.292173913,-0.1346467732
0.444069304,-0.3704740115,-0.1321904619
0.5934731557,-0.4570103133,-0.1234568436
0.761655682,-0.5456927412,-0.1097310175
0.9334111491,-0.6304312177,-0.09229808245
1.09352765,-0.7053048377,-0.07226818075
1.226768585,-0.7650693839,-0.05005162754
1.31789118,-0.8046498114,-0.02588378117
1.351652661,-0.818971075,-9.731897827e-17
1.31789118,-0.8046498114,0.0258505854
1.226768585,-0.7650693839,0.04993781347
1.09352765,-0.7053048377,0.07205477937
0.9334111491,-0.6304312177,0.09199457826
0.761655682,-0.5456927412,0.1093753485
0.5934731557,-0.4570103133,0.1231154014
0.444069304,-0.3704740115,0.1319580915
0.3286498603,-0.292173913,0.1346467732
0.2583277552,-0.2283995733,0.1303820586
0.2278447069,-0.1801644017,0.1201935903
0.2278496306,-0.1456442568,0.1055682683
0.2489914413,-0.1230149973,0.08799299272
0.281899726,-0.110277857,0.0686997939
0.3171267585,-0.1047355716,0.04790122285
0.3452054845,-0.1035162523,0.02555496081
0.3566688497,-0.1037480101,0.001618688994
0.3452054845,-0.1035162523,-0.02242349313
0.3171267585,-0.1047355716,-0.04505587111
0.281899726,-0.110277857,-0.06627334116
0.2489914413,-0.1230149973,-0.08607079954
0.2278496306,-0.1456442568,-0.1041882727
0.2278447069,-0.1801644017,-0.1193463077
0.2583277552,-0.2283995733,-0.1300105821
1.172105782,-0.2113043478,-0.4639403195
1.301842408,-0.3615913886,-0.4551336418
1.470137548,-0.516764603,-0.4253322119
1.659811618,-0.6681406711,-0.378606706
1.853685036,-0.8070362731,-0.3190278002
2.034559699,-0.9252756051,-0.2501413004
2.185163423,-1.016712928,-0.173393531
2.288205507,-1.075710019,-0.08970594614
2.326395246,-1.096628654,-1.394598722e-16
2.288205507,-1.075710019,0.0896686009
2.185163423,-1.016712928,0.1732654902
2.034559699,-0.9252756051,0.2499012238
1.853685036,-0.8070362731,0.318686358
1.659811618,-0.6681406711,0.3782065784
1.470137548,-0.516764603,0.4249480894
1.301842408,-0.3615913886,0.4548722251
1.172105782,-0.2113043478,0.4639403195
1.093481537,-0.07817138731,0.44957802
1.06002068,0.03175958902,0.4150682265
1.061148503,0.1191352653,0.3651581521
1.086290298,0.1846023257,0.3045950101
1.124813372,0.2293313282,0.2373614042
1.165853092,0.2565883256,0.1643815004
1.198486844,0.2701632445,0.08581485514
1.211792009,0.2738460116,0.001821025118
1.198486844,0.2701632445,-0.08229195401
1.165853092,0.2565883256,-0.1611804796
1.124813372,0.2293313282,-0.2346316449
1.086290298,0.1846023257,-0.3024325428
1.061148503,0.1191352653,-0.3636056571
1.06002068,0.03175958902,-0.4141150336
1.093481537,-0.07817138731,-0.4491601089
2.316627277,-0.1147826087,-0.8759104793
2.402971364,-0.3281208517,-0.8589318492
2.515455865,-0.5368118912,-0.8036836158
2.642530216,-0.7320190679,-0.7169846186
2.772643851,-0.9049057223,-0.6056536969
2.894218425,-1.047396469,-0.4757223845
2.995564472,-1.15446102,-0.3300729933
