x,y,z
-3.700743415e-17,0.0,3.700743415e-17
0.3191086828,0.0143359375,-0.2559245684
0.3191086828,-0.0449376073,-0.2462759483
0.3191086828,-0.09976540665,-0.2193617713
0.3191086828,-0.1473240596,-0.1782295628
0.3191086828,-0.1847901653,-0.1259268479
0.3191086828,-0.2093403227,-0.06550115188
0.3191086828,-0.2181511309,1.170938346e-17
0.3191086828,-0.2093403227,0.06550115188
0.3191086828,-0.1847901653,0.1259268479
0.3191086828,-0.1473240596,0.1782295628
0.3191086828,-0.09976540665,0.2193617713
0.3191086828,-0.0449376073,0.2462759483
0.3191086828,0.0143359375,0.2559245684
0.3191086828,0.0736094823,0.2462759483
0.3191086828,0.1284372816,0.2193617713
0.3191086828,0.1759959346,0.1782295628
0.3191086828,0.2134620403,0.1259268479
0.3191086828,0.2380121977,0.06550115188
0.3191086828,0.2468230059,2.82976767e-17
0.3191086828,0.2380121977,-0.06550115188
0.3191086828,0.2134620403,-0.1259268479
0.3191086828,0.1759959346,-0.1782295628
0.3191086828,0.1284372816,-0.2193617713
0.3191086828,0.0736094823,-0.2462759483
0.7459748103,0.045875,-0.4983218386
0.7459748103,-0.06438336304,-0.4800639052
0.7459748103,-0.1648686293,-0.4288226331
0.7459748103,-0.2509992043,-0.3498968144
0.7459748103,-0.3181934938,-0.2485852412
0.7459748103,-0.3618699033,-0.1301867057
0.7459748103,-0.3774468386,1.040834086e-17
0.7459748103,-0.3618699033,0.1301867057
0.7459748103,-0.3181934938,0.2485852412
0.7459748103,-0.2509992043,0.3498968144
0.7459748103,-0.1648686293,0.4288226331
0.7459748103,-0.06438336304,0.4800639052
0.7459748103,0.045875,0.4983218386
0.7459748103,0.156133363,0.4800639052
0.7459748103,0.2566186293,0.4288226331
0.7459748103,0.3427492043,0.3498968144
0.7459748103,0.4099434938,0.2485852412
0.7459748103,0.4536199033,0.1301867057
0.7459748103,0.4691968386,2.51534904e-17
0.7459748103,0.4536199033,-0.1301867057
0.7459748103,0.4099434938,-0.2485852412
0.7459748103,0.3427492043,-0.3498968144
0.7459748103,0.2566186293,-0.4288226331
0.7459748103,0.156133363,-0.4800639052
1.224839533,0.0774140625,-0.6790581895
1.224839533,-0.06855662256,-0.6546174142
1.224839533,-0.2002832611,-0.5857575265
1.224839533,-0.3122824669,-0.4791721839
1.224839533,-0.399070854,-0.3415550437
1.224839533,-0.455165036,-0.1795997633
1.224839533,-0.475081627,3.903127821e-18
1.224839533,-0.455165036,0.1795997633
1.224839533,-0.399070854,0.3415550437
1.224839533,-0.3122824669,0.4791721839
1.224839533,-0.2002832611,0.5857575265
1.224839533,-0.06855662256,0.6546174142
1.224839533,0.0774140625,0.6790581895
1.224839533,0.2233847476,0.6546174142
1.224839533,0.3551113861,0.5857575265
1.224839533,0.4671105919,0.4791721839
1.224839533,0.553898979,0.3415550437
1.224839533,0.609993161,0.1795997633
1.224839533,0.629909752,9.432558901e-18
1.224839533,0.609993161,-0.1795997633
1.224839533,0.553898979,-0.3415550437
1.224839533,0.4671105919,-0.4791721839
1.224839533,0.3551113861,-0.5857575265
1.224839533,0.2233847476,-0.6546174142
1.699944,0.09175,-0.75
1.699944,-0.06767674121,-0.7231900186
1.699944,-0.2109828954,-0.647541393
1.699944,-0.3324308805,-0.5302261006
1.699944,-0.4262831144,-0.3784161193
1.699944,-0.4868020149,-0.1992834265
1.699944,-0.50825,-0.0
1.699944,-0.4868020149,0.1992834265
1.699944,-0.4262831144,0.3784161193
1.699944,-0.3324308805,0.5302261006
1.699944,-0.2109828954,0.647541393
1.699944,-0.06767674121,0.7231900186
1.699944,0.09175,0.75
1.699944,0.2511767412,0.7231900186
1.699944,0.3944828954,0.647541393
1.699944,0.5159308805,0.5302261006
1.699944,0.6097831144,0.3784161193
1.699944,0.6703020149,0.1992834265
1.699944,0.69175,-0.0
1.699944,0.6703020149,-0.1992834265
1.699944,0.6097831144,-0.3784161193
1.699944,0.5159308805,-0.5302261006
1.699944,0.3944828954,-0.647541393
1.699944,0.2511767412,-0.7231900186
2.136078193,0.1555449219,-0.796875
2.136078193,-0.0246405096,-0.7683893948
2.136078193,-0.1866063193,-0.68801273
2.136078193,-0.3238678441,-0.5633652319
2.136078193,-0.4299404209,-0.4020671267
2.136078193,-0.4983393866,-0.2117386407
2.136078193,-0.5225800781,-0.0
2.136078193,-0.4983393866,0.2117386407
2.136078193,-0.4299404209,0.4020671267
2.136078193,-0.3238678441,0.5633652319
2.136078193,-0.1866063193,0.68801273
2.136078193,-0.0246405096,0.7683893948
2.136078193,0.1555449219,0.796875
2.136078193,0.3357303534,0.7683893948
2.136078193,0.4976961631,0.68801273
2.136078193,0.6349576879,0.5633652319
2.136078193,0.7410302647,0.4020671267
2.136078193,0.8094292304,0.2117386407
2.136078193,0.8336699219,-0.0
2.136078193,0.8094292304,-0.2117386407
2.136078193,0.7410302647,-0.4020671267
2.136078193,0.6349576879,-0.5633652319
2.136078193,0.4976961631,-0.68801273
2.136078193,0.3357303534,-0.7683893948
2.55000775,0.29589375,-0.9
2.55000775,0.07003919995,-0.8678280224
2.55000775,-0.1329778518,-0.7770496716
2.55000775,-0.3050291641,-0.6362713208
2.55000775,-0.4379864954,-0.4540993431
2.55000775,-0.5237216045,-0.2391401118
2.55000775,-0.55410625,-0.0
2.55000775,-0.5237216045,0.2391401118
2.55000775,-0.4379864954,0.4540993431
2.55000775,-0.3050291641,0.6362713208
2.55000775,-0.1329778518,0.7770496716
2.55000775,0.07003919995,0.8678280224
2.55000775,0.29589375,0.9
2.55000775,0.5217483001,0.8678280224
2.55000775,0.7247653518,0.7770496716
2.55000775,0.8968166641,0.6362713208
2.55000775,1.029773995,0.4540993431
2.55000775,1.115509104,0.2391401118
2.55000775,1.14589375,-0.0
2.55000775,1.115509104,-0.2391401118
2.55000775,1.029773995,-0.4540993431
2.55000775,0.8968166641,-0.6362713208
2.55000775,0.7247653518,-0.7770496716
2.55000775,0.5217483001,-0.8678280224
2.963937307,0.4362425781,-1.003125
2.963937307,0.1647189095,-0.9672666499
2.963937307,-0.07934938439,-0.8660866131
2.963937307,-0.286190484,-0.7091774096
2.963937307,-0.4460325698,-0.5061315595
2.963937307,-0.5491038223,-0.266541583
2.963937307,-0.5856324219,-0.0
2.963937307,-0.5491038223,0.266541583
2.963937307,-0.4460325698,0.5061315595
2.963937307,-0.286190484,0.7091774096
2.963937307,-0.07934938439,0.8660866131
2.963937307,0.1647189095,0.9672666499
2.963937307,0.4362425781,1.003125
2.963937307,0.7077662468,0.9672666499
2.963937307,0.9518345406,0.8660866131
2.963937307,1.15867564,0.7091774096
2.963937307,1.318517726,0.5061315595
2.963937307,1.421588979,0.266541583
2.963937307,1.458117578,-0.0
2.963937307,1.421588979,-0.266541583
2.963937307,1.318517726,-0.5061315595
2.963937307,1.15867564,-0.7091774096
2.963937307,0.9518345406,-0.8660866131
2.963937307,0.7077662468,-0.9672666499
3.4000715,0.5000375,-1.05
3.4000715,0.2077551411,-1.012466026
3.4000715,-0.05497280827,-0.9065579502
3.4000715,-0.2776274476,-0.7423165409
3.4000715,-0.4496898764,-0.529782567
3.4000715,-0.560641194,-0.2789967971
3.4000715,-0.5999625,-0.0
3.4000715,-0.560641194,0.2789967971
3.4000715,-0.4496898764,0.529782567
3.4000715,-0.2776274476,0.7423165409
3.4000715,-0.05497280827,0.9065579502
3.4000715,0.2077551411,1.012466026
3.4000715,0.5000375,1.05
3.4000715,0.7923198589,1.012466026
3.4000715,1.055047808,0.9065579502
3.4000715,1.277702448,0.7423165409
3.4000715,1.449764876,0.529782567
3.4000715,1.560716194,0.2789967971
3.4000715,1.6000375,-0.0
3.4000715,1.560716194,-0.2789967971
3.4000715,1.449764876,-0.529782567
3.4000715,1.277702448,-0.7423165409
3.4000715,1.055047808,-0.9065579502
3.4000715,0.7923198589,-1.012466026
3.996831818,0.5000375,-1.05
3.996831818,0.2036100458,-1.012466026
3.996831818,-0.06284386355,-0.9065579502
3.996831818,-0.2886561505,-0.7423165409
3.996831818,-0.4631587373,-0.529782567
3.996831818,-0.5756835464,-0.2789967971
3.996831818,-0.6155625,-0.0
3.996831818,-0.5756835464,0.2789967971
3.996831818,-0.4631587373,0.529782567
3.996831818,-0.2886561505,0.7423165409
3.996831818,-0.06284386355,0.9065579502
3.996831818,0.2036100458,1.012466026
3.996831818,0.5000375,1.05
3.996831818,0.7964649542,1.012466026
3.996831818,1.062918864,0.9065579502
3.996831818,1.28873115,0.7423165409
3.996831818,1.463233737,0.529782567
3.996831818,1.575758546,0.2789967971
3.996831818,1.6156375,-0.0
3.996831818,1.575758546,-0.2789967971
3.996831818,1.463233737,-0.529782567
3.996831818,1.28873115,-0.7423165409
3.996831818,1.062918864,-0.9065579502
3.996831818,0.7964649542,-1.012466026
4.933898739,0.5000375,-1.05
4.933898739,0.1937255879,-1.012466026
4.933898739,-0.08161330307,-0.9065579502
4.933898739,-0.3149553651,-0.7423165409
4.933898739,-0.4952767904,-0.529782567
4.933898739,-0.6115537713,-0.2789967971
4.933898739,-0.6527625,-0.0
4.933898739,-0.6115537713,0.2789967971
4.933898739,-0.4952767904,0.529782567
4.933898739,-0.3149553651,0.7423165409
4.933898739,-0.08161330307,0.9065579502
4.933898739,0.1937255879,1.012466026
4.933898739,0.5000375,1.05
4.933898739,0.8063494121,1.012466026
