x,y,z
0.0,-0.8093100189,-0.0
0.02232028981,-0.8093100189,-0.1696266871
0.02232028981,-0.8373447067,-0.1559294414
0.02232028981,-0.8608751961,-0.1190484991
0.02232028981,-0.8772911691,-0.06517501589
0.02232028981,-0.8834821606,9.251858539e-18
0.02232028981,-0.8772911691,0.06517501589
0.02232028981,-0.8608751961,0.1190484991
0.02232028981,-0.8373447067,0.1559294414
0.02232028981,-0.8093100189,0.1696266871
0.02232028981,-0.7812753311,0.1559294414
0.02232028981,-0.7577448417,0.1190484991
0.02232028981,-0.7413288687,0.06517501589
0.02232028981,-0.7351378772,-1.14246435e-17
0.02232028981,-0.7413288687,-0.06517501589
0.02232028981,-0.7577448417,-0.1190484991
0.02232028981,-0.7812753311,-0.1559294414
-0.02232028981,-0.8093100189,-0.3985551311
-0.02232028981,-0.8580850515,-0.3669861815
-0.02232028981,-0.8978255815,-0.2813250537
-0.02232028981,-0.9250153685,-0.1548902556
-0.02232028981,-0.9351378772,9.251858539e-18
-0.02232028981,-0.9250153685,0.1548902556
-0.02232028981,-0.8978255815,0.2813250537
-0.02232028981,-0.8580850515,0.3669861815
-0.02232028981,-0.8093100189,0.3985551311
-0.02232028981,-0.7605349863,0.3669861815
-0.02232028981,-0.7207944563,0.2813250537
-0.02232028981,-0.6936046693,0.1548902556
-0.02232028981,-0.6834821606,-3.711256891e-17
-0.02232028981,-0.6936046693,-0.1548902556
-0.02232028981,-0.7207944563,-0.2813250537
-0.02232028981,-0.7605349863,-0.3669861815
0.0,-0.8093100189,-0.5681818182
-9.251858539e-18,-0.8871278491,-0.5235017331
-1.850371708e-17,-0.9507036457,-0.4016864399
-9.251858539e-18,-0.993582629,-0.2210733812
0.0,-1.009310019,-0.0
-9.251858539e-18,-0.993582629,0.2210733812
-1.850371708e-17,-0.9507036457,0.4016864399
-9.251858539e-18,-0.8871278491,0.5235017331
0.0,-0.8093100189,0.5681818182
-6.938893904e-18,-0.7314921887,0.5235017331
0.0,-0.6679163921,0.4016864399
-6.938893904e-18,-0.6250374088,0.2210733812
0.0,-0.6093100189,-4.108650548e-33
-9.251858539e-18,-0.6250374088,-0.2210733812
-1.850371708e-17,-0.6679163921,-0.4016864399
-4.625929269e-18,-0.7314921887,-0.5235017331
0.3301385622,-0.7251417769,-0.711198675
0.3301385622,-0.8615880343,-0.6553468756
0.3301385622,-0.9737090853,-0.5028019303
0.3301385622,-1.049154925,-0.2763676037
0.3301385622,-1.07672789,7.105427358e-18
0.3301385622,-1.049154925,0.2763676037
0.3301385622,-0.9737090853,0.5028019303
0.3301385622,-0.8615880343,0.6553468756
0.3301385622,-0.7251417769,0.711198675
0.3301385622,-0.5886955196,0.6553468756
0.3301385622,-0.4765744686,0.5028019303
0.3301385622,-0.4011286284,0.2763676037
0.3301385622,-0.3735556639,1.142307939e-17
0.3301385622,-0.4011286284,-0.2763676037
0.3301385622,-0.4765744686,-0.5028019303
0.3301385622,-0.5886955196,-0.6553468756
1.052301107,-0.5244328922,-0.9360360094
1.052301107,-0.7562677021,-0.8625130247
1.052301107,-0.9464003783,-0.6617556524
1.052301107,-1.074439673,-0.3638053607
1.052301107,-1.12129072,7.993605777e-18
1.052301107,-1.074439673,0.3638053607
1.052301107,-0.9464003783,0.6617556524
1.052301107,-0.7562677021,0.8625130247
1.052301107,-0.5244328922,0.9360360094
1.052301107,-0.2925980824,0.8625130247
1.052301107,-0.1024654062,0.6617556524
1.052301107,0.02557388823,0.3638053607
1.052301107,0.0724249353,1.285096431e-17
1.052301107,0.02557388823,-0.3638053607
1.052301107,-0.1024654062,-0.6617556524
1.052301107,-0.2925980824,-0.8625130247
2.005167052,-0.2848771267,-1.177433097
2.005167052,-0.6202586156,-1.084899371
2.005167052,-0.8947445315,-0.8324130274
2.005167052,-1.079741765,-0.4578623804
2.005167052,-1.147521463,5.329070518e-18
2.005167052,-1.079741765,0.4578623804
2.005167052,-0.8947445315,0.8324130274
2.005167052,-0.6202586156,1.084899371
2.005167052,-0.2848771267,1.177433097
2.005167052,0.05050436229,1.084899371
2.005167052,0.3249902782,0.8324130274
2.005167052,0.5099875121,0.4578623804
2.005167052,0.5777672102,8.567309541e-18
2.005167052,0.5099875121,-0.4578623804
2.005167052,0.3249902782,-0.8324130274
2.005167052,0.05050436229,-1.084899371
3.027415814,-0.08416824197,-1.370129214
3.027415814,-0.5026525375,-1.262405106
3.027415814,-0.8447085517,-0.9686394767
3.027415814,-1.075366098,-0.5330143914
3.027415814,-1.159943076,1.776356839e-18
3.027415814,-1.075366098,0.5330143914
3.027415814,-0.8447085517,0.9686394767
3.027415814,-0.5026525375,1.262405106
3.027415814,-0.08416824197,1.370129214
3.027415814,0.3343160536,1.262405106
3.027415814,0.6763720678,0.9686394767
3.027415814,0.9070296143,0.5330143914
3.027415814,0.9916065921,2.855769847e-18
3.027415814,0.9070296143,-0.5330143914
3.027415814,0.6763720678,-0.9686394767
3.027415814,0.3343160536,-1.262405106
3.957726811,0.0,-1.448863636
3.957726811,-0.4525412309,-1.334929419
3.957726811,-0.8222594458,-1.024300422
3.957726811,-1.071617566,-0.5637371221
3.957726811,-1.163078512,-0.0
3.957726811,-1.071617566,0.5637371221
3.957726811,-0.8222594458,1.024300422
3.957726811,-0.4525412309,1.334929419
3.957726811,0.0,1.448863636
3.957726811,0.4525412309,1.334929419
3.957726811,0.8222594458,1.024300422
3.957726811,1.071617566,0.5637371221
3.957726811,1.163078512,-0.0
3.957726811,1.071617566,-0.5637371221
3.957726811,0.8222594458,-1.024300422
3.957726811,0.4525412309,-1.334929419
4.588454256,0.02335258152,-1.468394886
4.588454256,-0.4383932468,-1.352924792
4.588454256,-0.8156314558,-1.038108393
4.588454256,-1.07006147,-0.5713365196
4.588454256,-1.163382714,-0.0
4.588454256,-1.07006147,0.5713365196
4.588454256,-0.8156314558,1.038108393
4.588454256,-0.4383932468,1.352924792
4.588454256,0.02335258152,1.468394886
4.588454256,0.4850984099,1.352924792
4.588454256,0.8623366188,1.038108393
4.588454256,1.116766633,0.5713365196
4.588454256,1.210087877,-0.0
4.588454256,1.116766633,-0.5713365196
4.588454256,0.8623366188,-1.038108393
4.588454256,0.4850984099,-1.352924792
5.412815845,0.08491847826,-1.519886364
5.412815845,-0.4010940162,-1.400367136
5.412815845,-0.7981576639,-1.074511227
5.412815845,-1.065959035,-0.5913712948
5.412815845,-1.164184698,-0.0
5.412815845,-1.065959035,0.5913712948
5.412815845,-0.7981576639,1.074511227
5.412815845,-0.4010940162,1.400367136
5.412815845,0.08491847826,1.519886364
5.412815845,0.5709309727,1.400367136
5.412815845,0.9679946205,1.074511227
5.412815845,1.235795991,0.5913712948
5.412815845,1.334021655,-0.0
5.412815845,1.235795991,-0.5913712948
5.412815845,0.9679946205,-1.074511227
5.412815845,0.5709309727,-1.400367136
6.386396556,0.1719599185,-1.592684659
6.386396556,-0.3483606212,-1.467440796
6.386396556,-0.7734533375,-1.125977302
6.386396556,-1.06015904,-0.6196963217
6.386396556,-1.165318539,-0.0
6.386396556,-1.06015904,0.6196963217
6.386396556,-0.7734533375,1.125977302
6.386396556,-0.3483606212,1.467440796
6.386396556,0.1719599185,1.592684659
6.386396556,0.6922804581,1.467440796
6.386396556,1.117373174,1.125977302
6.386396556,1.404078877,0.6196963217
6.386396556,1.509238376,-0.0
6.386396556,1.404078877,-0.6196963217
6.386396556,1.117373174,-1.125977302
6.386396556,0.6922804581,-1.467440796
7.464781367,0.2717391304,-1.676136364
7.464781367,-0.2879101439,-1.544330113
7.464781367,-0.7451337438,-1.184974998
7.464781367,-1.053510266,-0.6521664746
7.464781367,-1.166618308,-0.0
7.464781367,-1.053510266,0.6521664746
7.464781367,-0.7451337438,1.184974998
7.464781367,-0.2879101439,1.544330113
7.464781367,0.2717391304,1.676136364
7.464781367,0.8313884048,1.544330113
7.464781367,1.288612005,1.184974998
7.464781367,1.596988527,0.6521664746
7.464781367,1.710096568,-0.0
7.464781367,1.596988527,-0.6521664746
7.464781367,1.288612005,-1.184974998
7.464781367,0.8313884048,-1.544330113
8.603555259,0.3715183424,-1.759588068
8.603555259,-0.2274596666,-1.62121943
8.603555259,-0.7168141501,-1.243972693
8.603555259,-1.046861492,-0.6846366275
8.603555259,-1.167918076,-0.0
8.603555259,-1.046861492,0.6846366275
8.603555259,-0.7168141501,1.243972693
8.603555259,-0.2274596666,1.62121943
8.603555259,0.3715183424,1.759588068
8.603555259,0.9704963514,1.62121943
8.603555259,1.459850835,1.243972693
8.603555259,1.789898177,0.6846366275
8.603555259,1.910954761,-0.0
8.603555259,1.789898177,-0.6846366275
8.603555259,1.459850835,-1.243972693
8.603555259,0.9704963514,-1.62121943
9.758303209,0.4585597826,-1.832386364
9.758303209,-0.1747262716,-1.688293089
9.758303209,-0.6921098237,-1.295438769
9.758303209,-1.041061497,-0.7129616545
9.758303209,-1.169051917,-0.0
9.758303209,-1.041061497,0.7129616545
9.758303209,-0.6921098237,1.295438769
9.758303209,-0.1747262716,1.688293089
9.758303209,0.4585597826,1.832386364
9.758303209,1.091845837,1.688293089
9.758303209,1.609229389,1.295438769
9.758303209,1.958181063,0.7129616545
9.758303209,2.086171482,-0.0
9.758303209,1.958181063,-0.7129616545
9.758303209,1.609229389,-1.295438769
9.758303209,1.091845837,-1.688293089
10.8846102,0.5201256793,-1.883877841
10.8846102,-0.1374270409,-1.735735434
10.8846102,-0.6746360318,-1.331841602
10.8846102,-1.036959062,-0.7329964296
10.8846102,-1.169853902,-0.0
