x,y,z
0.0,0.0,-0.0
0.7676461637,0.03962733298,-0.5878115387
0.7930551361,-0.09432282313,-0.5382142973
0.8495838459,-0.2076380283,-0.4052237755
0.9061774502,-0.2842885033,-0.2175893972
0.9319078536,-0.3122798858,3.819167205e-17
0.9061774502,-0.2842885033,0.2175893972
0.8495838459,-0.2076380283,0.4052237755
0.7930551361,-0.09432282313,0.5382142973
0.7676461637,0.03962733298,0.5878115387
0.7941174575,0.1721409332,0.534509273
0.8519255424,0.2819980853,0.3998346491
0.9100024145,0.3546944573,0.2138843729
0.9364859592,0.3807532338,7.98935612e-18
0.9100024145,0.3546944573,-0.2138843729
0.8519255424,0.2819980853,-0.3998346491
0.7941174575,0.1721409332,-0.534509273
1.899484484,0.1368819989,-1.003334709
1.927532833,-0.1224137628,-0.9203170508
1.991126113,-0.3368870221,-0.6943105878
2.054914076,-0.4775483984,-0.375027948
2.083926718,-0.5275147612,3.463895837e-17
2.054914076,-0.4775483984,0.375027948
1.991126113,-0.3368870221,0.6943105878
1.927532833,-0.1224137628,0.9203170508
1.899484484,0.1368819989,1.003334709
1.930719798,0.3918680931,0.9092019777
1.998151202,0.5959671933,0.6781432088
2.066388969,0.7247662604,0.363912875
2.097661034,0.7689348054,-1.599996053e-17
2.066388969,0.7247662604,-0.363912875
1.998151202,0.5959671933,-0.6781432088
1.930719798,0.3918680931,-0.9092019777
3.197499723,0.2593229984,-1.280070687
3.215482963,-0.1087480219,-1.176233181
3.257876456,-0.4089015101,-0.8904494034
3.300561976,-0.603022437,-0.4840267557
3.319991655,-0.6711551484,1.199040867e-17
3.300561976,-0.603022437,0.4840267557
3.257876456,-0.4089015101,0.8904494034
3.215482963,-0.1087480219,1.176233181
3.197499723,0.2593229984,1.280070687
3.220263409,0.6209295173,1.159560571
3.268414091,0.905521767,0.8661983349
3.317774316,1.08184923,0.4673541461
3.34059313,1.141285215,-4.398395523e-17
3.317774316,1.08184923,-0.4673541461
3.268414091,0.905521767,-0.8661983349
3.220263409,0.6209295173,-1.159560571
4.463676641,0.3745093319,-1.451520648
4.468955394,-0.07780080312,-1.335887608
4.483084534,-0.4448360208,-1.016829189
4.497473251,-0.6839533708,-0.5562969235
4.504037728,-0.7686515691,-7.105427358e-18
4.497473251,-0.6839533708,0.5562969235
4.483084534,-0.4448360208,1.016829189
4.468955394,-0.07780080312,1.335887608
4.463676641,0.3745093319,1.451520648
4.47320468,0.8210732434,1.321067511
4.492451319,1.174276249,0.9952726833
4.512773108,1.397577187,0.541476826
4.52235015,1.474544961,-4.797863329e-17
4.512773108,1.397577187,-0.541476826
4.492451319,1.174276249,-0.9952726833
4.47320468,0.8210732434,-1.321067511
5.5,0.45,-1.551185771
5.5,-0.0540473092,-1.429205253
5.5,-0.4658450829,-1.09663891
5.5,-0.7435839516,-0.6035495545
5.5,-0.8454545455,-0.0
5.5,-0.7435839516,0.6035495545
5.5,-0.4658450829,1.09663891
5.5,-0.0540473092,1.429205253
5.5,0.45,1.551185771
5.5,0.9540473092,1.429205253
5.5,1.365845083,1.09663891
5.5,1.643583952,0.6035495545
5.5,1.745454545,-8.217301096e-33
5.5,1.643583952,-0.6035495545
5.5,1.365845083,-1.09663891
5.5,0.9540473092,-1.429205253
6.649337848,0.5745292742,-1.638551455
6.650664837,-0.00066771266,-1.510217435
6.650634074,-0.4741605038,-1.165024688
6.650252981,-0.8020156416,-0.6430644022
6.650038361,-0.925245415,2.891205793e-17
6.650252981,-0.8020156416,0.6430644022
6.650634074,-0.4741605038,1.165024688
6.650664837,-0.00066771266,1.510217435
6.649337848,0.5745292742,1.638551455
6.64577726,1.155316011,1.524588231
6.640124137,1.642210163,1.185927664
6.633538067,1.985306517,0.6574351981
6.630235809,2.115965894,1.446064014e-17
6.633538067,1.985306517,-0.6574351981
6.640124137,1.642210163,-1.185927664
6.64577726,1.155316011,-1.524588231
8.102301115,0.8114134271,-1.728596632
8.103896887,0.1143481609,-1.592722105
8.103790943,-0.4580024854,-1.226547311
8.103164817,-0.8502890809,-0.6761897346
8.102803655,-0.9963535533,3.083952846e-17
8.103164817,-0.8502890809,0.6761897346
8.103790943,-0.4580024854,1.226547311
8.103896887,0.1143481609,1.592722105
8.102301115,0.8114134271,1.728596632
8.098092949,1.513064449,1.60440287
8.091841519,2.096280443,1.243537515
8.08509343,2.500726864,0.6878705004
8.081825357,2.652671569,6.61057835e-18
8.08509343,2.500726864,-0.6878705004
8.091841519,2.096280443,-1.243537515
8.098092949,1.513064449,-1.60440287
9.717619383,1.105027518,-1.813042687
9.718821289,0.2633100391,-1.669668877
9.718638288,-0.4243740972,-1.279935858
9.717915474,-0.8869651172,-0.7036219484
9.717489174,-1.056181459,1.734723476e-17
9.717915474,-0.8869651172,0.7036219484
9.718638288,-0.4243740972,1.279935858
9.718821289,0.2633100391,1.669668877
9.717619383,1.105027518,1.813042687
9.714560067,1.947001396,1.670083167
9.710669971,2.635010114,1.280538462
9.707341696,3.097526553,0.7040362388
9.705932596,3.266600132,-1.115535097e-17
9.707341696,3.097526553,-0.7040362388
9.710669971,2.635010114,-1.280538462
9.714560067,1.947001396,-1.670083167
11.35402223,1.399746604,-1.883611008
11.35456318,0.4185276499,-1.734007365
11.35434379,-0.3802784084,-1.323919411
11.35368491,-0.9106045979,-0.7260574402
11.35328821,-1.102131631,1.232595164e-32
11.35368491,-0.9106045979,0.7260574402
11.35434379,-0.3802784084,1.323919411
11.35456318,0.4185276499,1.734007365
11.35402223,1.399746604,1.883611008
11.35279162,2.376835625,1.723063116
11.35212732,3.16535337,1.308000503
11.35295848,3.683387145,0.7151131907
11.35372148,3.868780145,-2.64423134e-17
11.35295848,3.683387145,-0.7151131907
11.35212732,3.16535337,-1.308000503
11.35279162,2.376835625,-1.723063116
12.87023924,1.639945745,-1.932022983
12.87024771,0.5523107209,-1.778687185
12.87007513,-0.3327184886,-1.357227052
12.8696531,-0.9197683708,-0.7441926066
12.86939405,-1.131606569,-9.637352644e-18
12.8696531,-0.9197683708,0.7441926066
12.87007513,-0.3327184886,1.357227052
12.87024771,0.5523107209,1.778687185
12.87023924,1.639945745,1.932022983
12.87040059,2.722275909,1.764776711
12.87173139,3.594264404,1.336993637
12.87461937,4.165990202,0.7302821334
12.87635596,4.37024017,-2.685547455e-17
12.87461937,4.165990202,-0.7302821334
12.87173139,3.594264404,-1.336993637
12.87040059,2.722275909,-1.764776711
14.125,1.77,-1.95
14.125,0.6369689799,-1.796657948
14.125,-0.2886974072,-1.378587862
14.125,-0.9130172833,-0.7587238444
14.125,-1.14200877,-0.0
14.125,-0.9130172833,0.7587238444
14.125,-0.2886974072,1.378587862
14.125,0.6369689799,1.796657948
14.125,1.77,1.95
14.125,2.90303102,1.796657948
14.125,3.828697407,1.378587862
14.125,4.453017283,0.7587238444
14.125,4.68200877,-0.0
14.125,4.453017283,-0.7587238444
14.125,3.828697407,-1.378587862
14.125,2.90303102,-1.796657948
15.56135037,1.822259411,-1.964957546
15.56170101,0.6890718733,-1.811000955
15.56194505,-0.2420975663,-1.401862403
15.56242392,-0.8872710986,-0.7759981342
15.56271883,-1.130008121,1.421509515e-17
15.56242392,-0.8872710986,0.7759981342
15.56194505,-0.2420975663,1.401862403
15.56170101,0.6890718733,1.811000955
15.56135037,1.822259411,1.964957546
15.56020955,2.966970228,1.840135366
15.55698661,3.92584064,1.444239727
15.55146135,4.602631412,0.8051325449
15.54830875,4.860807981,5.095654145e-17
15.55146135,4.602631412,-0.8051325449
15.55698661,3.92584064,-1.444239727
15.56020955,2.966970228,-1.840135366
16.99842344,1.836892047,-2.002351413
16.99886033,0.7146710137,-1.842661334
16.99919745,-0.2079967924,-1.429636516
16.99980766,-0.8543137126,-0.7927050188
17.00017507,-1.100006497,1.773272887e-17
16.99980766,-0.8543137126,0.7927050188
16.99919745,-0.2079967924,1.429636516
16.99886033,0.7146710137,1.842661334
16.99842344,1.836892047,2.002351413
16.99710204,2.978860075,1.891132429
16.99335242,3.948248361,1.500139926
16.98688546,4.646747578,0.8411761134
16.98318926,4.917649173,7.712341408e-17
16.98688546,4.646747578,-0.8411761134
16.99335242,3.948248361,-1.500139926
16.99710204,2.978860075,-1.891132429
18.43602206,1.826440164,-2.050963439
18.43637391,0.7211651405,-1.883650553
18.43669318,-0.1852739856,-1.458690953
18.43720418,-0.8198139369,-0.808016143
18.4375,-1.061004385,1.431146868e-17
18.43720418,-0.8198139369,0.808016143
18.43669318,-0.1852739856,1.458690953
18.43637391,0.7211651405,1.883650553
18.43602206,1.826440164,2.050963439
18.4351024,2.955404028,1.940268576
18.43246705,3.917102483,1.541044442
18.42786185,4.612141568,0.8646341665
18.42522009,4.88226066,8.180590708e-17
18.42786185,4.612141568,-0.8646341665
18.43246705,3.917102483,-1.541044442
18.4351024,2.955404028,-1.940268576
19.87394912,1.803446023,-2.099575465
19.87413773,0.7159529933,-1.925980078
19.87436821,-0.172808046,-1.485806466
19.87466644,-0.7894405832,-0.8211031516
19.87482493,-1.022002274,7.709882115e-18
19.87466644,-0.7894405832,0.8211031516
19.87436821,-0.172808046,1.485806466
19.87413773,0.7159529933,1.925980078
19.87394912,1.803446023,2.099575465
19.87363556,2.91330555,1.978163247
19.87270011,3.853584917,1.561709258
19.87098005,4.525589174,0.873286321
19.86997978,4.784370753,6.830930961e-17
19.87098005,4.525589174,-0.873286321
19.87270011,3.853584917,-1.561709258
19.87363556,2.91330555,-1.978163247
21.31200747,1.780451882,-2.136969331
21.31204777,0.7064333116,-1.961661375
21.31215849,-0.1694778738,-1.507763808
21.3122474,-0.7688624631,-0.8311376896
21.31228117,-0.9920006497,1.686536713e-18
21.3122474,-0.7688624631,0.8311376896
21.31215849,-0.1694778738,1.507763808
21.31204777,0.7064333116,1.961661375
21.31200747,1.780451882,2.136969331
21.31212645,2.869268108,1.995435879
21.31242122,3.778877575,1.55689036
21.3128296,4.413866184,0.8649121938
21.3130469,4.653707762,3.993891086e-17
21.3128296,4.413866184,-0.8649121938
21.31242122,3.778877575,-1.55689036
21.31212645,2.869268108,-1.995435879
22.75,1.77,-2.151926877
22.75,0.7000048349,-1.982705912
22.75,-0.174162369,-1.521343729
22.75,-0.7637483884,-0.8372914017
22.75,-0.98,-0.0
22.75,-0.7637483884,0.8372914017
22.75,-0.174162369,1.521343729
22.75,0.7000048349,1.982705912
22.75,1.77,2.151926877
22.75,2.839995165,1.982705912
22.75,3.714162369,1.521343729
22.75,4.303748388,0.8372914017
22.75,4.52,-0.0
22.75,4.303748388,-0.8372914017
22.75,3.714162369,-1.521343729
22.75,2.839995165,-1.982705912
23.80037683,1.755650821,-2.152677677
23.80039653,0.6904835623,-1.987904221
23.80029938,-0.1808883105,-1.524063432
23.80024978,-0.7636965361,-0.8380602929
23.80024355,-0.9755793179,1.998858326e-19
23.80024978,-0.7636965361,0.8380602929
23.80029938,-0.1808883105,1.524063432
23.80039653,0.6904835623,1.987904221
23.80037683,1.755650821,2.152677677
23.80004025,2.81197311,1.967807488
23.79921275,3.663235211,1.494831821
23.79795854,4.224848931,0.81796356
23.79726873,4.42680201,-2.219848532e-17
23.79795854,4.224848931,-0.81796356
23.79921275,3.663235211,-1.494831821
