x,y,z
0.0,4.249,3.700743415e-17
0.08611986545,4.234220149,-0.2735295205
0.08678042619,4.170313082,-0.2632406912
0.0886629414,4.111923423,-0.2340207145
0.09117613222,4.061974607,-0.1897683579
0.09372542826,4.023297684,-0.1341674006
0.09570309308,3.998354167,-0.07004166878
0.09649809868,3.989513188,8.223874256e-18
0.09570309308,3.998354167,0.07004166878
0.09372542826,4.023297684,0.1341674006
0.09117613222,4.061974607,0.1897683579
0.0886629414,4.111923423,0.2340207145
0.08678042619,4.170313082,0.2632406912
0.08611986545,4.234220149,0.2735295205
0.08707443157,4.297855643,0.2623233078
0.08924487093,4.355562167,0.2323976515
0.09203382343,4.404613673,0.1878630231
0.09483376499,4.442380225,0.1325443377
0.09699651556,4.466616353,0.06912428535
0.09786373109,4.475172697,9.979809131e-18
0.09699651556,4.466616353,-0.06912428535
0.09483376499,4.442380225,-0.1325443377
0.09203382343,4.404613673,-0.1878630231
0.08924487093,4.355562167,-0.2323976515
0.08707443157,4.297855643,-0.2623233078
0.2988877675,4.206771855,-0.5223535129
0.2991809932,4.08706345,-0.5033386162
0.3005521684,3.979644291,-0.4488857502
0.3025112223,3.889144616,-0.3657406538
0.3045615012,3.820009896,-0.260219089
0.3061800191,3.775946533,-0.1369169114
0.3068372071,3.76047616,-2.055968564e-18
0.3061800191,3.775946533,0.1369169114
0.3045615012,3.820009896,0.260219089
0.3025112223,3.889144616,0.3657406538
0.3005521684,3.979644291,0.4488857502
0.2991809932,4.08706345,0.5033386162
0.2988877675,4.206771855,0.5223535129
0.2999950653,4.325925263,0.5015038493
0.3021554738,4.431948534,0.4456396243
0.3048540834,4.520615083,0.3619299842
0.3075556567,4.587890555,0.2569729631
0.3096436441,4.63050952,0.1350821446
0.3104811682,4.645398775,-2.475769801e-17
0.3096436441,4.63050952,-0.1350821446
0.3075556567,4.587890555,-0.2569729631
0.3048540834,4.520615083,-0.3619299842
0.3021554738,4.431948534,-0.4456396243
0.2999950653,4.325925263,-0.5015038493
0.6616216366,4.191992005,-0.737125
0.6616216366,4.020331918,-0.7107752567
0.6616216366,3.866029405,-0.6364252657
0.6616216366,3.735262311,-0.5211238859
0.6616216366,3.634208483,-0.3719199759
0.6616216366,3.569045765,-0.1958623944
0.6616216366,3.545952005,-0.0
0.6616216366,3.569045765,0.1958623944
0.6616216366,3.634208483,0.3719199759
0.6616216366,3.735262311,0.5211238859
0.6616216366,3.866029405,0.6364252657
0.6616216366,4.020331918,0.7107752567
0.6616216366,4.191992005,0.737125
0.6616216366,4.363652091,0.7107752567
0.6616216366,4.517954604,0.6364252657
0.6616216366,4.648721698,0.5211238859
0.6616216366,4.749775527,0.3719199759
0.6616216366,4.814938244,0.1958623944
0.6616216366,4.838032005,-0.0
0.6616216366,4.814938244,-0.1958623944
0.6616216366,4.749775527,-0.3719199759
0.6616216366,4.648721698,-0.5211238859
0.6616216366,4.517954604,-0.6364252657
0.6616216366,4.363652091,-0.7107752567
0.9624276314,4.229713107,-0.8500988865
0.9610667219,4.028526522,-0.8219692799
